C_MENU,C_REC,NAME_REC,ENDS
"D","0","цельнометалический",0
"G","3","светло бежевый",0
"P","(","УАЗ-3741",0
"G","4","песочный",0
"G","6",,0
"D","/","автокран",0
"B","5","автопогрузчик",1
"D","2","самосвал",1
"E",":","бортовой",1
"J","7","Кооператив Эврика",1
"P",")","ЕрАЗ-762 В",1
"C","3","Ереванский,АССР",1
"H","8","ГАИ УВД /ОВД/",1
"P","*","ЗИЛ-ММЗ-554",1
"P","+","ЗИЛ-4314-10",1
"J",";","Ростовский горисполком",1
"5","7","4081",0
"5","(","УНЦ-060",0
";","(",,0
"H","9","3-й отдел по борьбе с наркобизнесом",0
"G","5","голубой",0
"J","<","ПО ""Красный котельщик""",0
"O","(","Ниссан",0
"N",",","Опель-Сенатор",0
"Q","(","Ныса-521с",0
"C","4","Опель, ФРГ",0
"(",")","ГСМ",1
")","0","Топливо",1
")","1","Масло",1
"0","(","А-72",0
"0",")","А-76",0
"0","*","Аи-93",0
"0","+","Аи-98 ""экстра""",0
"0",",","Соляровое масло",0
"1","(","М-10г",0
"1",")","Ас-8",0
"C","5","Кировский,Ленинград,СССР",0
"H","0","Отдел связи",0
"E","*","патрульный АП-ППС",0
,"*","Источники финансирования",0
"*","(","Гос. бюджет",0
"*",")","Местный бюджет",0
"*","*","За счет средств исполкома",0
"(","+","Транспорт",1
"+","2","Легковые",1
"+","6","Оперативно служебные",1
"+","4","Грузовые",1
"+","+","Санитарные",0
"+",",","Автобусы",0
"+","-","Мотоциклы",0
"+",".","Автопогрузчики",0
"+","/","Трактора",0
"+","0","Катера",0
"+","1","Лодки",0
"2","(","АДЧ",0
"2",")","АП-ППС",0
"2","*","АП-ГАИ",0
"2","+","Стандартные",0
"2",",","АЭ",0
"2","-","БД",0
"2",".","ГПН в спецокраске",0
"2","3","прочие",1
"3","(","Санэпидемстанция",0
"3",")","Медпомощь на дому",0
"3","*","ИЦ",0
"3","+","ФПО",0
"3",",","другие",0
"3","-","автохозяйство",0
"4","+","Малотоннажные",0
"4",",","прочие",0
"6","(","АДЧ",0
"6",")","АЗ",0
"6","*","АМВ",0
"6","+","АШ",0
"6",",","СМ 8/2",0
"-","-","Под отчет",0
"E",";","топливовоз",0
"E","<","изотермическая",0
"E","=","экологический",0
"E",">","Автопогрузчик",0
"C","6","Фиат,Италия",0
"C","7","Н-Камский  автозавод",0
"C","8","ЧССР",0
"J","=","Магазин N-8 Облспорткультторга",0
"J",">","Новочеркасский хим.завод",0
"D","3","фургон",0
"H",":","экспертно криминалистическая",0
"H",";","5-й отдел",0
"H","=","пресс-служба УВД Ростоблисполкома",0
"I","<","МВД СССР",0
"J","?","Ставропольское УВД",0
"B","?","топливовоз",1
"?","(","модель 36133 АЦ-4,9",0
"D","4","цистерна",0
"J","@","Завод ""Нефтемаш"" г.Новочеркасск",0
,">","Способ приобретения",0
">","(","покупка",0
">",")","безвозмездная передача",0
",",",","к-т.",0
"F","@","грузоподъемность",1
"F",".",,0
"@","(","грузоподъемность 2т",0
"@",")","грузоподъемность 3т",0
"@","*","грузоподъемность 5т",0
"H",">","МФЮЗО",0
"B","7","Трактор",1
"7","(","К-700",0
"H","?","разъездная",0
"H","L","СЭС",0
"H","A","штаб",0
"H","@","6-ой отдел",0
"H","B","участковый инспектор",0
"H","C","инспекция госпожнадзора",0
"H","D","спецкамендатура",0
"H","E","инспекция исправительных работ",0
"H","F","инспекция по делам несовершеннолетн",0
,"8","Оплата",0
"8","(","Работа на транспортное средство",0
"8",")","Покупка",0
"8","*","Реализация",0
"8","+","Накладные расходы",0
"8",",","Культурно-массовые мероприятия",0
"8","-","Заказы",0
"8",".","Ремонт оборудования",0
"8","/","Хозяйственные расходы",0
"8","0","Цеховые расходы",0
"8","1","Содержание помещений",0
"8","2","Охрана труда",0
"8","3","Стоимость работ",0
"E","?","АДТП",0
"E","@","ЛКДУ",0
"-",".","Ремонт оборудования",0
"-","/","прочие",0
"E","A","скорая помощь",0
"E","B","медпомощь на дому",0
"A","-","санитарный",0
"C","9","Черкесский",0
"D","5","рефрижератор",0
"Q",")","РАФ-977ИМ",0
"D","6","вакуумный",0
":","(",,0
"U",")","ИЖ-2715",0
"N","N","М-408",0
"H","G","детприемник",0
"H","H","приемник-распред.для н/совершен.",0
"H","I","приемник-распред.для бродяг",0
"P",",","ГАЗ-51",0
"S","(","М-63 с коляской",0
"S",")","К-750",0
"N","O","ВАЗ-21074",0
"N","P","Ниссан-Патрол R",0
"N","Q","ВАЗ-21041",0
"N","R","ВАЗ-21043",0
"<","+","Военсклад  N68",0
"<",",","Ростовтехоптторг",0
"<","-","ХОЗО УВД РО",0
"<",".","СРП - 1",0
"D",".","вагонного типа",0
"U","(","ИЖ-2125",0
"<","0","Ростовская нефтебаза",0
"<","1","Батайская нефтебаза",0
"<","2","Злодейская нефтебаза",0
"<","3","ЦОВБ  ГУМТ и ВС",0
"<",")","Военсклад  N51",0
"<","*","Военсклад  N59",0
"V","3","АТХ УВД - Н.Новгород",0
"<","(","Системы УВД",0
"<","4","П/О ""БЕЛОЦЕРКОВШИНА""",0
",","-","кус.",0
",",".","м/п",0
",","/","кв.м",0
",","0","куб.м",0
"<","5","Кооператив ""Шиноремонтник""",0
":","/","АРМ АТХ УВД РО",0
".","<","Основные орг.",1
".","V","Прочие орг.",1
"V","4","УО УВД Ростоблисполкома",1
"<","/","СРП - 2",1
",","1","тн",1
",","2","пар",1
"N","S","М-21412",0
"N","T","ГАЗ-2411",0
"E","C","ПРМ-1",0
"E","D","ВАРЭМ",0
"P","-","УАЗ-3303",0
"D","7","платформа",0
"H","J","ХОЗО",0
"H","K","питомник служ.собак.",0
"N","U","ИЖ-412",0
"5",")","4045Р",0
"H","M","КПМ ГАИ",0
"H","N","Межрегиональн.отд.""КАВКАЗ""",0
"C",":","Польша",0
"H","O","котлонадзор УВД РО",0
"D","8","седельный тягач",0
"J","A","Таганрогский комбайновый з-д",0
"J","B","СП ""Ладаэкспорт"" г.Чехов",0
"E","E","АШ",0
"I",")","ХОЗО МВД РСФСР",0
"E","F","мотоцикл",0
"E","G","катер",0
"E","H","мотолодка",0
"D","9","шасси",0
"D",";","""вахта""",0
"J","C","ПМК-15 ""Ростовводмелиорация""",0
"J","D","СК УВДТ",0
"J","E","УЧ 398/12",0
"E","I","Передвиж.лабор.по контр.кач.воды",0
"J","F","Аксайский райисполком",0
,"/","Модели покрышек",0
,"=","Заводы-изготовители покрышек",0
"/","(","МИ-16",0
"=","(","Нижнекамский ШЗ",0
,"W","Размеры покрышек",0
"W","(","165/80/r13",0
"X","("," МАЗ-5334",0
"E","J","кинотеатр",0
"E","K","технологический передатчик",0
"H","P","4-й отдел",0
"H","Q","спецперевозки",0
"H","R","БХСС по рыбным запасам",0
"H","S","инспекторский отдел",0
"H","T","база отдыха",0
"H","U","СМУ ОКС",0
"H","V","РЭО ГАИ",0
"H","W","экологический взвод",0
"H","X","АТО",0
"H","Y","отдел по борьбе с организ.преступ.",0
"J","G","П/О  ""Ростовуголь""",0
"C",";","Ниссан,Япония",0
"J","H","МП ""ПОСРЕДНИК""",0
"J","I","Автохозяйство МВД РСФСР",0
"J","J","""Ростовавтотранс""",0
"=",")","Бобруйский ШЗ",0
"=","*","Белоцерковский ШЗ",0
"=","+","Барнаульский ШЗ",0
"=",",","Днепропетровский ШЗ",0
"=","-","Красноярский ШЗ",0
"=",".","Московский ШЗ",0
"=","/","Ярославский ШЗ",0
"=","0","Чимкентский ШЗ",0
"=","1","Опытный ШЗ",0
"/",")","М-151",0
"/","*","М-145",0
"/","+","БЛ-85",0
"/",",","ИД-195",0
"/","-","БЦ-220",0
"/",".","БЦ-280",0
"/","/","ИН-251",0
"/","0","БА-85",0
"/","1","Я-245",0
"/","2","МИ-173",0
"/","3","ИЯ-196",0
"W",")","6,15х13",0
"W","*","6,45х13",0
"W","+","165/70х13",0
"W",",","7,35х14",0
"W","-","205/70х14",0
"W",".","205/70х13",0
"W","/","175/70х13",0
"W","0","8,40х15",0
"W","1","220х508",0
"W","2","240х508",0
"W","3","260х508",0
"W","4","1200х18",0
"E","L","дезкамера",0
"J","K","В/ч 7405",0
"J","L","В/ч 3654",0
"J","M","В/ч 3658",0
"N","V","ГАЗ-31029",0
"J","N","Технико-коммерч.центр г.Шахты",0
"J","O","Кооп.""АРЗУ""г.Шахты",0
"A",")","бронетранспортер",0
"B","Y","Бронетранспортер",1
"Y","(","БТР-70",0
"E","M","бронетранспортер",0
"D","<","контейнеровоз",0
"J","P","Обмен с частным лицом",0
"J","Q","Ростовский НИИ радиосвязи",0
"J","R","Таганрогский комбайновый завод",0
"S","*","М-66 б/коляски",0
"E","N","вакуумный",0
"J","S","П/О ""Гидроимпульс""г.Псков",0
"B","Z","Автофургон для перевозки людей",1
"Z","(","МВГ-2 на базе ГАЗ-6611",0
"J","T","УЧ 398/19",0
"E","P","ИДН",0
"C","<","США",0
"J","U","Акционерная фирма ""Фаворит""",0
"E","O","участковые сельской местности",0
"E","Q","служба ГПН",0
"E","R","ИИРиТ",0
"E","S","ДПС ГАИ",0
"J","V","ТОО ""МАЯК""",0
"D","=","передвижная АЗС",0
"J","W","Грабовский автозавод",0
"A","4","трактор",0
"7",")","Т-40 АМ",0
"C","=","Липецкий",0
"J","X","ТОО ""Мелиховское""",0
"N","W","ГАЗ-31023",0
"J","Y","Пролетарский МКП г.Ростова",0
"C",">","Костромской судомеханический",0
"J","Z","Администрация района",0
"I",".","Администрация района",0
"J","[","Гос.предприятие ""Квант-техника""",0
"J","\","Западно-Сибирское ОУМТиВС МВД РФ",0
"D",">","комби",0
"J","]","ПКФ ""УРАЛ-1""",0
"N","X","ВАЗ-21093",0
"Y",")","БТР-80",0
"C","?","Арзамаский машиностроительный з-д",0
"J","^","Таганрогская СТО",0
"J","_","УВД г.Новочеркасска",0
"J","`","УЧ 398/10",0
"N","Y","ИЖ-2125",0
"H","2","торговый отдел",0
"H","[","служба тыла",0
"H","\","станция диагностики",0
"H","]","Служба БД",0
"H","^","Межрайон.отд.по борьбе с коррупцией",0
"H","_","торговый отдел",0
"E","T","трактор",0
"J","a","Морозовский райбыткомбинат",0
"J","b","АО ""Сальск-Лада""",0
"J","c","АО ""Ростов-Лада""",0
"J","d","Астраханское опытно-эксп.предпр.",0
"J","e","АО ""Ростовхлебопродукт""",0
"E","U","самосвал",0
"E","V","автокран",0
"E","W","седельный тягач",0
"E","X","контейнеровоз",0
"E","Y","фургон",0
"J","f","УПО УВД РО",0
"G","7","вишневый",0
"J","g","Славгородский з-д радиоаппаратуры",0
"P",".","УРАЛ-375",0
"B","(",,0
"B",")","Топливозаправщик",0
"C","@","Уральский автозавод,СССР",0
"P","/",,0
"P","0","РОБУР",0
"C","A","ИФА-Робур,ГДР",0
"E","Z","Топливозаправщик",0
"A","*","Цистерна",0
"J","h","А.О. ""Строймаш""",0
"Q","*","КАВЗ-3976",0
"J","i","СТО ""Москвич""",0
"P","1","АК-75  ЗИЛ130",0
"P","2","Урал-4320",0
"J","j",,0
"J","k","Приобретение у частного лица",0
"J","l","Филиал ПВБ г.Ульяновск",0
"J","m",,0
"J","n","Фирма ""КЛИО"" г. Рига",0
